"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Am06g27060",1180.78937322417,0.139435012109762,0.154647207360838,0.90163291332134,0.367251901010395,0.622753643551042
"Am02g01500",5.38701694724182,-0.98088841580225,1.08816580568493,-0.901414481761672,0.367367984410102,0.622904990218006
"Am08g00690",4.36319450584331,0.930346308416975,1.03226695228946,0.901265226357934,0.36744731793808,0.622994006664022
"Am04g10440",3194.30493743991,-0.0959137709137343,0.106441372121938,-0.901094837483459,0.367537897558156,0.623102076070553
"Am07g21440",160.200750696089,-0.167874905664265,0.186378984121403,-0.90071799916516,0.36773827618088,0.623396262856174
"Am02g48990",75.1347142291525,-0.262136886487858,0.29106782235877,-0.900604142235786,0.367798831427755,0.623453392992608
"Am02g09330",5.34404736458868,-1.89837998724745,2.1081169799446,-0.900509793957134,0.367849015628364,0.623471178454431
"Am05g39650",82.4075578024592,-0.417584232010472,0.463745900393389,-0.900459134315239,0.367875963439861,0.623471178454431
"Am02g20150",1225.97838883931,-0.160436922940271,0.178177533336776,-0.900432955467104,0.367889889457583,0.623471178454431
"Am08g02280",1011.61491898773,-0.184044144992165,0.204427966541909,-0.900288488436513,0.367966745589067,0.623555909897502
"Am04g20120",262.883313297188,0.170862329253316,0.189815142120506,0.900151206824386,0.368039788357548,0.623609847847011
"Am04g22720",67.4218959088504,-0.35370275588082,0.392947307988334,-0.900127698269716,0.368052297346647,0.623609847847011
"Am08g13250",1.9243295180061,1.50158870935509,1.66958178820127,0.899380144157442,0.368450211695086,NA
"Am03g30730",23.9258630602803,0.642148202586177,0.714014461552321,0.899349014850622,0.368466787267012,0.624266579084212
"Am03g08880",153.866831040661,-0.216432325447147,0.240669639533305,-0.899292182706728,0.368497050149371,0.624272293948322
"Am01g64080",2004.20648308913,0.089437803295993,0.0994740342675505,0.899107027824331,0.368595655089097,0.624364620022869
"Am02g35860",62.2514282249157,0.271090393425852,0.301516800143722,0.899088851090996,0.368605336062778,0.624364620022869
"Am06g11350",2.25734311614425,1.44355609019364,1.60581211483287,0.898957030439316,0.368675548806041,0.624437990886485
"Am06g25160",3.31419404869626,-1.97595542234083,2.19876890288772,-0.898664438880201,0.36883142404213,0.624656429863007
"Am06g15160",422.462080650293,-0.141142112998997,0.157085346686365,-0.898505913990822,0.368915893717557,0.62475391265204
"Am02g46040",201.922340194398,0.299929426061405,0.333834857116799,0.898436516341575,0.36895287590512,0.624770967688786
"Am06g38410",304.200261876544,-0.269420735622534,0.299915717131758,-0.898321495782675,0.3690141757378,0.624791977329166
"Am03g04240",8290.82719982105,0.237864896073858,0.264799124855602,0.898284298347165,0.369034001345513,0.624791977329166
"Am01g36780",1838.49370758492,0.193492496546503,0.2154114409219,0.898246145694071,0.369054336756334,0.624791977329166
"Am01g07720",15.9643631757115,-0.919901688510962,1.02414847091892,-0.898211260019336,0.369072931473647,0.624791977329166
"Am05g33660",3.52409219330148,-1.0861618810422,1.20943578367974,-0.898073213724109,0.369146518446437,0.624827972549675
"Am05g44640",231.954975657666,0.190006349804354,0.211580788946467,0.898032145311779,0.369168412139543,0.624827972549675
"Am02g42430",5.91800274417204,0.863840139791937,0.961938739748665,0.898019909269525,0.369174935366295,0.624827972549675
"Am03g43860",167.274862493085,0.269581039565933,0.300227877751455,0.897921410846152,0.3692274490373,0.624871297335614
"Am06g05500",1.86689667224906,-1.41060790138652,1.57120390464251,-0.897787930146128,0.369298620649996,NA
"Am08g06420",26.0534685601262,-0.403916482119798,0.449911843761506,-0.897768057721795,0.369309217311965,0.624964121956016
"Am05g29300",236.950804976373,0.155595578862645,0.173336897170524,0.897648344942823,0.369373056293848,0.624994861762591
"Am07g28450",695.372845129688,0.114704099770245,0.127785070306369,0.89763302939254,0.369381224080139,0.624994861762591
"Am01g28330",1939.66246206345,-0.135480708551916,0.150940329553908,-0.897577929982788,0.369410609535977,0.624999031554237
"Am04g25090",253.024376071202,0.27997030209073,0.311968435421333,0.897431503647517,0.369488708263197,0.625083492385843
"Am05g45410",154.542611482998,-0.404739500307313,0.451028829555377,-0.897369466839412,0.369521799639701,0.625083492385843
"Am02g49820",30.2950200630301,0.435009635879068,0.484780659430055,0.897332901833374,0.369541304832688,0.625083492385843
"Am02g04220",2.08359722258667,-1.68497441662917,1.87830422934615,-0.897072151733226,0.369680417608052,0.625273246043168
"Am02g30190",174.471099737277,0.256563509151791,0.286153237894722,0.896594814161017,0.369935166274303,0.62565368785674
"Am01g46840",1728.9789308353,0.421644710634015,0.47029708129979,0.896549707407685,0.369959244783655,0.62565368785674
"Am08g13160",33.1663714908864,0.512917310600264,0.572156007290168,0.896464083335471,0.370004954587527,0.625673753974517
"Am02g10930",56.8217874511994,0.395440807236937,0.441130198528609,0.896426516606504,0.370025010426866,0.625673753974517
"Am03g37780",1178.32108850916,-0.166339964746232,0.185590608433338,-0.896273610773681,0.37010664959831,0.625739839711716
"Am01g38390",4072.77854587922,-0.111880215391809,0.124831153674921,-0.896252354465632,0.370117999608946,0.625739839711716
"Am05g43540",6.17014600570992,0.931867881464272,1.04007884127226,0.895958887428549,0.370274721263018,0.625959217129704
"Am05g34190",10.9723071472458,0.684704260216592,0.764392046881977,0.89575011018176,0.370386240698419,0.626085035065219
"Am01g54330",31.4061922578272,-0.436198645177078,0.487002277841364,-0.895680913671548,0.370423206970777,0.626085035065219
"Am08g23310",302.91587212552,-0.177491684363656,0.198172856236324,-0.895640743816065,0.37044466762748,0.626085035065219
"Am08g00910",668.653716447309,-0.163103573961985,0.182112956432353,-0.895617627417795,0.37045701786229,0.626085035065219
"Am03g42860",3212.83882467711,-0.259708819662421,0.290140192058683,-0.895114936747175,0.370725650091822,0.626493426447208
"Am08g22580",2.31246423901626,-1.90646001428142,2.13078940433433,-0.894720055582876,0.37093675492575,0.626804549265319
"Am04g30210",3.98641169872087,1.04589516718539,1.16933944391962,0.894432470078627,0.371090546077382,0.627018785861172
"Am04g39840",1039.76660176149,-0.124314007132126,0.139028910268222,-0.894159401036035,0.371236610927654,0.62720439807302
"Am01g15680",35.4211133414815,-0.460394479528221,0.514910014268603,-0.894126093434369,0.371254429631265,0.62720439807302
"Am05g14900",32.8897996643935,0.601476518376191,0.672886022371627,0.893875780412634,0.371388357589574,0.627303521286578
"Am04g36070",89.6399204649638,0.222939268171043,0.249408614265989,0.893871564248714,0.371390613670642,0.627303521286578
"Am04g09710",6.72782358333843,1.02624622520243,1.14816427192892,0.893814805331234,0.371420986353311,0.627303521286578
"Am04g20420",116.545178714089,-0.317081077822857,0.354764901249258,-0.893778039220614,0.371440661360092,0.627303521286578
"Am05g39610",70.0353784774736,-0.288455719108647,0.322747340522632,-0.893750878447346,0.371455196584405,0.627303521286578
"Am02g26440",62.8776321148312,0.382713768346937,0.428228719342637,0.893713455123776,0.371475224442103,0.627303521286578
"Am07g17780",1678.13482271973,-0.109993108402542,0.1230970371975,-0.893547975700394,0.371563792172669,0.627386404348349
"Am03g20330",5.9713098953295,-1.06811060664486,1.19541665423632,-0.893504873685408,0.371586863339735,0.627386404348349
"Am02g49080",2819.83422287084,0.2096268630357,0.234620967564484,0.89347028618866,0.371605377592787,0.627386404348349
"Am07g17220",184.166546137441,0.235076148459774,0.263134168986118,0.893369908459799,0.371659111771313,0.62739665581216
"Am03g19370",249.764278762717,-0.19078524412352,0.213559680040535,-0.893357978843701,0.371665498250544,0.62739665581216
